pid,name,cpu_percent
0,System Idle Process,0
4,System,0
72,,0
96,winlogon.exe,0
132,Registry,0
520,smss.exe,0
752,csrss.exe,0
840,wininit.exe,0
864,csrss.exe,0
916,services.exe,0
936,LsaIso.exe,0
944,lsass.exe,0
960,svchost.exe,0
1052,fontdrvhost.exe,0
1060,fontdrvhost.exe,0
1128,WUDFHost.exe,0
1188,svchost.exe,0
1292,svchost.exe,0
1392,dwm.exe,0
1464,svchost.exe,0
1532,svchost.exe,0
1540,svchost.exe,0
1556,Code.exe,0
1564,svchost.exe,0
1600,YourPhone.exe,0
1660,svchost.exe,0
1684,svchost.exe,0
1724,conhost.exe,0
1752,svchost.exe,0
1764,svchost.exe,0
1872,svchost.exe,0
1888,Code.exe,0
1892,svchost.exe,0
1920,svchost.exe,0
1948,svchost.exe,0
2024,svchost.exe,0
2060,chrome.exe,0
2136,SelfService.exe,0
2152,svchost.exe,0
2212,svchost.exe,0
2236,Docker Desktop.exe,0
2248,svchost.exe,0
2256,SystemSettingsBroker.exe,0
2268,steamwebhelper.exe,0
2324,svchost.exe,0
2336,HxTsr.exe,0
2364,svchost.exe,0
2380,slack.exe,0
2424,NVDisplay.Container.exe,0
2512,svchost.exe,0
2520,svchost.exe,0
2548,com.docker.dev-envs.exe,0
2576,svchost.exe,0
2584,svchost.exe,0
2592,svchost.exe,0
2644,cmd.exe,0
2700,svchost.exe,0
2708,MemCompression,0
2764,svchost.exe,0
2796,svchost.exe,0
2856,svchost.exe,0
2868,svchost.exe,0
2948,svchost.exe,0
2996,spoolsv.exe,0
3004,conhost.exe,0
3128,svchost.exe,0
3136,svchost.exe,0
3164,svchost.exe,0
3224,NVDisplay.Container.exe,0
3276,svchost.exe,0
3376,Code.exe,0
3396,chrome.exe,0
3464,svchost.exe,0
3480,wslhost.exe,0
3536,svchost.exe,0
3548,wslhost.exe,0
3588,chrome.exe,0
3604,dasHost.exe,0
3716,svchost.exe,0
3724,svchost.exe,0
3776,svchost.exe,0
3784,chrome.exe,0
3848,svchost.exe,0
3924,conhost.exe,0
4056,svchost.exe,0
4152,svchost.exe,0
4300,svchost.exe,0
4344,svchost.exe,0
4384,chrome.exe,0
4388,AR_Service.exe,0
4396,UpdaterService.exe,0
4404,svchost.exe,0
4412,svchost.exe,0
4432,svchost.exe,0
4448,svchost.exe,0
4464,svchost.exe,0
4476,OfficeClickToRun.exe,0
4488,LMS.exe,0
4504,mysqld.exe,0
4556,svchost.exe,0
4572,svchost.exe,0
4596,Discord.exe,0
4668,nssm.exe,0
4692,svchost.exe,0
4720,TeamViewer_Service.exe,0
4760,WirelessKB850NotificationService.exe,0
4776,dllhost.exe,0
4796,MsMpEng.exe,0
4824,ZANG_MgrSvc.exe,0
4860,steamwebhelper.exe,0
4864,svchost.exe,0
5024,wsl.exe,0
5044,svchost.exe,0
5060,svchost.exe,0
5196,chrome.exe,0
5220,jhi_service.exe,0
5256,chrome.exe,0
5368,mysqld.exe,0
5396,conhost.exe,0
5476,svchost.exe,0
5676,chrome.exe,0
5740,svchost.exe,0
5764,com.docker.service,0
5828,chrome.exe,0
6008,svchost.exe,0
6088,Microsoft.Photos.exe,0
6164,dasHost.exe,0
6248,Code.exe,0
6260,sihost.exe,0
6308,svchost.exe,0
6332,CtxWebBrowser.exe,0
6368,chrome.exe,0
6424,SgrmBroker.exe,0
6556,svchost.exe,0
6568,svchost.exe,0
6604,svchost.exe,0
6652,ctfmon.exe,0
6688,steamwebhelper.exe,0
6788,taskhostw.exe,0
6832,wsl.exe,0
6916,svchost.exe,0
6968,SearchIndexer.exe,0
7008,TextInputHost.exe,0
7068,Code.exe,0
7108,svchost.exe,0
7348,Discord.exe,0
7540,chrome.exe,0
7692,chrome.exe,0
7724,chrome.exe,0
8100,vpnkit.exe,0
8176,explorer.exe,0
8272,Code.exe,0
8280,svchost.exe,0
8300,svchost.exe,0
8608,Code.exe,0
8964,StartMenuExperienceHost.exe,0
9004,audiodg.exe,0
9052,Code.exe,0
9068,svchost.exe,0
9084,RuntimeBroker.exe,0
9120,svchost.exe,0
9240,RuntimeBroker.exe,0
9356,svchost.exe,0
9400,svchost.exe,0
9412,Postman.exe,0
9504,RuntimeBroker.exe,0
9540,svchost.exe,0
9592,Postman.exe,0
9772,SystemSettings.exe,0
9776,SettingSyncHost.exe,0
9804,SearchApp.exe,0
9868,Code.exe,0
9948,chrome.exe,0
10012,steamwebhelper.exe,0
10360,steamwebhelper.exe,0
10524,svchost.exe,0
10824,chrome.exe,0
10856,chrome.exe,0
10964,ZoneAlarmCrashHandler.exe,0
10984,ZoneAlarmCrashHandler64.exe,0
11000,GoogleCrashHandler.exe,0
11036,NisSrv.exe,0
11052,GoogleCrashHandler64.exe,0
11072,Video.UI.exe,0
11080,RuntimeBroker.exe,0
11156,steamwebhelper.exe,0
11272,chrome.exe,0
11360,LockApp.exe,0
11508,dllhost.exe,0
11608,RuntimeBroker.exe,0
11620,jucheck.exe,0
11696,RuntimeBroker.exe,0
